misspelling,correct,edit_distance,len_diff
Mr's,Mrs,1,1
Mrss,Mrs,1,1
Octber,October,1,-1
pikaness,Pekinese,3,0
perllips,Philip's,4,0
Pyrannean,Pyrenean,2,1
rowles,Rolls,2,1
Samariton,Samaritan,1,0
Saterday,Saturday,1,0
Satuarday,Saturday,1,1
Scotts,Scots,1,1
Sep,Sept,1,-1
Septenber,September,1,0
Septmber,September,1,-1
shebre,Sheba,2,1
Spanich,Spanish,1,0
Sanday,Sunday,1,0
sweedish,Swedish,1,1
Thems,Thames,2,-1
Teusday,Tuesday,2,0
Tusday,Tuesday,1,-1
Tuseday,Tuesday,2,0
vitiorian,Victorian,2,0
Wdendsdy,Wednesday,4,-1
Wedensday,Wednesday,2,0
Wensday,Wednesday,2,-2
Wesh,Welsh,1,-1
exrays,X-rays,2,0
I,a,1,0
ah,a,1,1
an,a,1,1
and,a,2,2
are,a,2,2
as,a,1,1
the,a,3,2
aquiver,a-quiver,1,-1
abit,a bit,1,-1
afew,a few,1,-1
alitl,a little,3,-3
alittle,a little,1,-1
along,a long,1,-1
alook,a look,1,-1
alot,a lot,1,-1
alote,a lot,2,0
lot,a lot,2,-2
amusum,a museum,2,-2
abbatoir,abattoir,2,0
abhorence,abhorrence,1,-1
abbility,ability,1,1
abilaty,ability,1,0
abillity,ability,1,1
abilty,ability,1,-1
ablity,ability,1,-1
aball,able,2,1
abel,able,2,0
abule,able,1,1
alb,able,2,-1
able bodied,able-bodied,1,0
a belt,about,3,1
a bot,about,2,0
a bout,about,1,1
a but,about,2,0
a pelt,about,4,1
aboat,about,1,0
aboit,about,1,0
abont,about,1,0
aboo,about,2,-1
abot,about,1,-1
abote,about,2,0
abou,about,1,-1
abought,about,2,2
abould,about,2,1
abound,about,2,1
abowt,about,1,0
abunt,about,2,0
abuot,about,2,0
ad,about,4,-3
adeaut,about,3,1
adot,about,2,-1
adout,about,1,0
arand,about,4,0
bout,about,1,-1
of,about,4,-3
out,about,2,-2
to,about,4,-3
urbote,about,4,1
a,above,4,-4
a barth,above,5,2
a beyied,above,5,3
a bof,above,3,0
a bother,above,4,3
a bueve,above,3,2
a buth,above,4,1
a buve,above,2,1
abaeth,above,4,1
abahe,above,2,0
aboat,above,2,0
aboer,above,2,0
abofe,above,1,0
abost,above,2,0
abou,above,2,-1
about,above,2,0
abouth,above,3,1
abouve,above,1,1
abowe,above,1,0
abuf,above,3,-1
abuov,above,2,0
abuve,above,1,0
abve,above,1,-1
adove,above,1,0
aduv,above,3,-1
alowe,above,2,0
aovere,above,3,1
apuve,above,2,0
bealove,above,3,2
beneath,above,6,2
buft,above,4,-1
dong,above,4,-1
obove,above,1,0
ubove,above,1,0
unbove,above,2,1
uove,above,2,-1
upbudh,above,5,1
upbuve,above,3,1
urborth,above,5,2
a broad,abroad,1,1
abraod,abroad,2,0
abrod,abroad,1,-1
absense,absence,1,0
absents,absence,2,0
apsent,absent,1,0
absolutley,absolutely,2,0
absolutly,absolutely,1,-1
apselutely,absolutely,2,0
abo,absorbed,5,-5
absorbant,absorbent,1,0
absorbtion,absorption,1,0
abse,abstract,5,-4
Asurb,absurd,2,-1
abeserbed,absurd,4,3
abscered,absurd,3,2
abserb,absurd,2,0
abserbd,absurd,2,1
abserbed,absurd,3,2
abserd,absurd,1,0
abserded,absurd,3,2
absered,absurd,2,1
abserid,absurd,2,1
abserred,absurd,3,2
abserve,absurd,3,1
abserved,absurd,3,2
abseved,absurd,3,1
absevered,absurd,4,3
absorb,absurd,2,0
absorbd,absurd,2,1
absorbed,absurd,3,2
absord,absurd,1,0
absored,absurd,2,1
absred,absurd,2,0
absurb,absurd,1,0
absurbe,absurd,2,1
absurbed,absurd,2,2
absurded,absurd,2,2
absured,absurd,1,1
absurred,absurd,2,2
aburd,absurd,1,-1
aburve,absurd,3,0
adsurbed,absurd,3,2
apserved,absurd,4,2
apubed,absurd,4,0
obsurd,absurd,1,0
obsured,absurd,2,1
abundence,abundance,1,0
abundent,abundant,1,0
abouse,abuse,1,1
accademic,academic,1,1
acedemic,academic,1,0
academicly,academically,2,-2
accademically,academically,1,1
acceed,accede,2,0
acellerate,accelerate,2,0
achsends,accents,3,1
acept,accept,1,-1
axcept,accept,1,0
except,accept,2,0
accepball,acceptable,3,-1
acceptably,acceptable,1,0
acceptiable,acceptable,1,1
acceptible,acceptable,1,0
aceptable,acceptable,1,-1
aceptible,acceptable,2,-1
acetable,acceptable,2,-2
ackceptable,acceptable,1,1
ackeptable,acceptable,1,0
acksecetable,acceptable,4,2
ackseptable,acceptable,2,1
acseptable,acceptable,1,0
actable,acceptable,3,-3
actceptable,acceptable,1,1
actseptable,acceptable,2,1
actsepterable,acceptable,4,3
asseptable,acceptable,2,0
axceptable,acceptable,1,0
axceptiable,acceptable,2,1
axeptable,acceptable,2,-1
ecceptable,acceptable,1,0
exactible,acceptable,6,-1
exceptable,acceptable,2,0
excepteable,acceptable,3,1
exceptial,acceptable,5,-1
exceptible,acceptable,3,0
exsaptible,acceptable,5,0
exseptable,acceptable,3,0
exsestible,acceptable,5,0
exzeptable,acceptable,3,0
acceptence,acceptance,1,0
acepted,accepted,1,-1
excepted,accepted,2,0
execpted,accepted,4,0
acess,access,1,-1
accessability,accessibility,1,0
accesible,accessible,1,-1
accessable,accessible,1,0
accesing,accessing,1,-1
accesion,accession,1,-1
a canet,accident,4,-1
acadent,accident,2,-1
acats,accident,6,-3
accdient,accident,2,0
accedent,accident,1,0
accend,accident,3,-2
accicent,accident,1,0
acciendent,accident,2,2
accierdent,accident,2,2
accsident,accident,1,1
accxident,accident,1,1
acddent,accident,2,-1
acdend,accident,3,-2
acdent,accident,2,-2
acedcedt,accident,4,0
acedent,accident,2,-1
aciadent,accident,2,0
aciddent,accident,2,0
acident,accident,1,-1
aciedent,accident,2,0
acist,accident,4,-3
acs,accident,6,-5
acsdent,accident,2,-1
acsedent,accident,2,0
acsident,accident,1,0
addinent,accident,3,0
advainet,accident,5,0
afanat,accident,6,-2
agisted,accident,6,-1
akcdent,accident,2,-1
aken,accident,5,-4
ancident,accident,1,0
and,accident,6,-5
andandn,accident,6,-1
andet,accident,4,-3
andexns,accident,5,-1
andient,accident,3,-1
andint,accident,4,-2
andires,accident,5,-1
anitharent,accident,6,2
anteght,accident,6,-1
asabed,accident,6,-2
asadun,accident,5,-2
ascended,accident,5,0
asde,accident,5,-4
asden,accident,4,-3
asdent,accident,3,-2
ased,accident,6,-4
asedend,accident,4,-1
aserdent,accident,3,0
asident,accident,2,-1
askedent,accident,3,0
askendent,accident,4,1
asterdet,accident,5,0
ataren,accident,5,-2
axcident,accident,1,0
axed,accident,6,-4
axedent,accident,3,-1
axedents,accident,4,0
axedet,accident,4,-2
axerdent,accident,3,0
axident,accident,2,-1
axidint,accident,3,-1
axs,accident,7,-5
axseadent,accident,4,1
castan,accident,6,-2
esadend,accident,5,-1
exded,accident,6,-3
exedelt,accident,5,-1
exedent,accident,4,-1
exiedent,accident,4,0
harcent,accident,4,-1
sedent,accident,4,-2
xedet,accident,5,-3
accidently,accidentally,2,-2
accmodate,accommodate,2,-2
accodate,accommodate,3,-3
accomadate,accommodate,2,-1
accomadite,accommodate,3,-1
accomdate,accommodate,2,-2
accomidate,accommodate,2,-1
accommadate,accommodate,1,0
accommdate,accommodate,1,-1
accommedate,accommodate,1,0
accommidate,accommodate,1,0
accommodation,accommodate,3,2
accommondate,accommodate,1,1
accomnadate,accommodate,2,0
accomnodate,accommodate,1,0
accomodat,accommodate,2,-2
accomodate,accommodate,1,-1
accomodaty,accommodate,2,-1
accomode,accommodate,3,-3
accomodiate,accommodate,2,0
accomondate,accommodate,2,0
accondate,accommodate,3,-2
acomadate,accommodate,3,-2
acomidate,accommodate,3,-2
acommodate,accommodate,1,-1
acommodiate,accommodate,2,0
acomodate,accommodate,2,-2
aconadate,accommodate,4,-2
acromodate,accommodate,2,-1
eccommodate,accommodate,1,0
accamadation,accommodation,3,-1
accamation,accommodation,4,-3
accomadation,accommodation,2,-1
accomdation,accommodation,2,-2
accomdition,accommodation,3,-2
accomedation,accommodation,2,-1
accomidation,accommodation,2,-1
accommadation,accommodation,1,0
accommadition,accommodation,2,0
accommidation,accommodation,1,0
accommodiation,accommodation,1,1
accommtation,accommodation,2,-1
accomodation,accommodation,1,-1
accondutelion,accommodation,6,0
acomadation,accommodation,3,-2
acomedation,accommodation,3,-2
acomidation,accommodation,3,-2
acommadition,accommodation,3,-1
acommodation,accommodation,1,-1
acomodation,accommodation,2,-2
addcomadiation,accommodation,5,1
comadation,accommodation,4,-3
ecomodation,accommodation,3,-2
accomodations,accommodations,1,-1
acompanied,accompanied,1,-1
accompanimen,accompaniment,1,-1
acompany,accompany,1,-1
accampaninesing,accompanying,5,3
accmpaning,accompanying,2,-2
accominating,accompanying,4,0
accommampaning,accompanying,4,2
accompagnying,accompanying,1,1
accompaining,accompanying,2,0
accompanied,accompanying,3,-1
accompaning,accompanying,1,-1
accompanining,accompanying,2,1
accompanning,accompanying,1,0
accompany,accompanying,3,-3
accompaying,accompanying,1,-1
accompenied,accompanying,4,-1
accompening,accompanying,2,-1
accompied,accompanying,5,-3
accomping,accompanying,3,-3
accompining,accompanying,2,-1
accompning,accompanying,2,-2
accompnying,accompanying,1,-1
accomponing,accompanying,2,-1
accomponying,accompanying,1,0
accompy,accompanying,5,-5
accompying,accompanying,2,-2
accompyning,accompanying,2,-1
acconpaning,accompanying,2,-1
acconpenying,accompanying,2,0
accopaning,accompanying,2,-2
accumpanying,accompanying,1,0
accumptaining,accompanying,4,1
acommpanying,accompanying,2,0
acompamion,accompanying,5,-2
acompanied,accompanying,4,-2
acompaning,accompanying,2,-2
acompanning,accompanying,2,-1
acompanying,accompanying,1,-1
acompning,accompanying,3,-3
acumaning,accompanying,4,-3
companying,accompanying,2,-2
occompanying,accompanying,1,0
acomplice,accomplice,1,-1
acomplish,accomplish,1,-1
acalern,accomplished,9,-5
acaulle,accomplished,8,-5
accamplish,accomplished,3,-2
accaplished,accomplished,2,-1
accomhed,accomplished,4,-4
accomplish,accomplished,2,-2
aclimplised,accomplished,3,-1
aclomplished,accomplished,1,0
aco,accomplished,9,-9
acolpleshed,accomplished,3,-1
acolplished,accomplished,2,-1
acombished,accomplished,3,-2
acompilsh,accomplished,5,-3
acomplised,accomplished,2,-2
acomplished,accomplished,1,-1
acomplisht,accomplished,3,-2
acomplshed,accomplished,2,-2
aconase,accomplished,7,-5
aconplised,accomplished,3,-2
aconplish,accomplished,4,-3
acoplished,accomplished,2,-2
acoumpish,accomplished,5,-3
acumlished,accomplished,3,-2
acuplished,accomplished,3,-2
apcomplished,accomplished,1,0
comdash,accomplished,7,-5
acaurtens,accordance,6,-1
accordars,accordance,3,-1
accordence,accordance,1,0
accordences,accordance,2,1
accordense,accordance,2,0
accordince,accordance,1,0
accrdanse,accordance,2,-1
acdone,accordance,5,-4
acoadens,accordance,5,-2
acoradance,accordance,2,0
acordance,accordance,1,-1
acordence,accordance,2,-1
acordenin,accordance,4,-1
acordens,accordance,4,-2
acordense,accordance,3,-1
acordenst,accordance,4,-1
acordise,accordance,4,-2
acordounse,accordance,4,0
acorduse,accordance,4,-2
acorrdance,accordance,2,0
acorrdens,accordance,5,-1
acourdance,accordance,2,0
adcordence,accordance,2,0
arcordance,accordance,1,0
arroduce,accordance,5,-2
condar,accordance,6,-4
acording,according,1,-1
acordingly,accordingly,1,-1
o,accordingly,10,-10
acordian,accordion,2,-1
acount,account,1,-1
acounts,accounts,1,-1
accewed,accrued,2,0
accrewed,accrued,2,1
accrode,accrued,3,0
accrood,accrued,2,0
accrored,accrued,2,1
accroud,accrued,2,0
accroued,accrued,1,1
accroved,accrued,2,1
accrowved,accrued,3,2
accrud,accrued,1,-1
accrude,accrued,2,0
accruded,accrued,1,1
accrue,accrued,1,-1
accrueded,accrued,2,2
accruell,accrued,2,1
accruid,accrued,1,0
accruide,accrued,2,1
accrured,accrued,1,1
accrute,accrued,2,0
accruved,accrued,1,1
acctrade,accrued,4,1
accud,accrued,2,-2
accude,accrued,3,-1
accurate,accrued,4,1
accurde,accrued,3,0
accured,accrued,2,0
accurred,accrued,2,1
accurve,accrued,3,0
accused,accrued,2,0
achrue,accrued,2,-1
ackcrewd,accrued,3,1
ackcrude,accrued,3,1
ackrewed,accrued,3,1
ackrude,accrued,3,0
ackruid,accrued,2,0
acording,accrued,5,1
acqured,accrued,3,0
acrauge,accrued,4,0
acrawed,accrued,3,0
acreud,accrued,3,-1
acreued,accrued,2,0
acrewd,accrued,3,-1
acrewed,accrued,3,0
acrewved,accrued,4,1
acrood,accrued,3,-1
acroude,accrued,4,0
acroved,accrued,3,0
acrrued,accrued,1,0
acrud,accrued,2,-2
acrude,accrued,3,-1
acrued,accrued,1,-1
acruied,accrued,2,0
acrute,accrued,3,-1
acude,accrued,4,-2
acurd,accrued,3,-2
akcrewed,accrued,3,1
approve,accrued,5,0
approved,accrued,4,1
aprove,accrued,5,-1
aquse,accrued,5,-2
aturely,accrued,5,0
crude,accrued,4,-2
curude,accrued,4,-1
acumulated,accumulated,1,-1
acurate,accurate,1,-1
accruately,accurately,2,0
acustom,accustom,1,-1
accomused,accustomed,5,-1
accostamned,accustomed,3,1
accostemed,accustomed,2,0
accostioum,accustomed,5,0
accostmed,accustomed,2,-1
accostom,accustomed,3,-2
accostomed,accustomed,1,0
accostumed,accustomed,2,0
accostuned,accustomed,3,0
accoustomed,accustomed,1,1
accumotoned,accustomed,3,1
accumstomed,accustomed,1,1
accusstomed,accustomed,1,1
accustinend,accustomed,3,1
accustiomed,accustomed,1,1
accustom,accustomed,2,-2
accustome,accustomed,1,-1
accustomend,accustomed,1,1
accustomened,accustomed,2,2
accustommed,accustomed,1,1
accustomned,accustomed,1,1
accustoned,accustomed,1,0
accustumed,accustomed,1,0
accutomed,accustomed,1,-1
acescintion,accustomed,8,1
acomton,accustomed,6,-3
acostom,accustomed,4,-3
acostomed,accustomed,2,-1
acostum,accustomed,5,-3
acostumed,accustomed,3,-1
acusstomed,accustomed,2,0
acustem,accustomed,4,-3
acustemed,accustomed,2,-1
acustimend,accustomed,3,0
acustom,accustomed,3,-3
acustome,accustomed,2,-2
acustomed,accustomed,1,-1
acustomend,accustomed,2,0
acustumed,accustomed,2,-1
ascostomend,accustomed,3,1
ascumend,accustomed,5,-2
ascustomed,accustomed,1,0
ocustommed,accustomed,3,0
uccustumed,accustomed,2,0
uscostumed,accustomed,4,0
acke,ache,1,0
ake,ache,2,-1
acheive,achieve,2,0
acheve,achieve,1,-1
achi,achieve,3,-3
accheived,achieved,3,1
acheived,achieved,2,0
acieved,achieved,1,-1
achei,achievement,7,-6
acheivement,achievement,2,0
acheing,aching,1,1
acknoledge,acknowledge,1,-1
accknoldge,acknowledgement,7,-5
accknowledgement,acknowledgement,1,1
accknowledgment,acknowledgement,2,0
accknowlegment,acknowledgement,3,-1
accoldment,acknowledgement,6,-5
accolegement,acknowledgement,4,-3
accomnoltion,acknowledgement,11,-3
aceknowledgement,acknowledgement,1,1
acknoldge,acknowledgement,6,-6
acknoledgement,acknowledgement,1,-1
acknoledgment,acknowledgement,2,-2
acknoledgmet,acknowledgement,3,-3
acknolegment,acknowledgement,3,-3
acknowayment,acknowledgement,5,-3
acknowedgement,acknowledgement,1,-1
acknowedgment,acknowledgement,2,-2
acknowelgement,acknowledgement,2,-1
acknowldment,acknowledgement,3,-3
acknowledement,acknowledgement,1,-1
acknowledge,acknowledgement,4,-4
acknowledging,acknowledgement,4,-2
acknowledgment,acknowledgement,1,-1
acknowledment,acknowledgement,2,-2
acknowlegdement,acknowledgement,2,0
acknowlegement,acknowledgement,1,-1
acknowlegment,acknowledgement,2,-2
acknowlment,acknowledgement,4,-4
ackolejement,acknowledgement,4,-3
ackouledge,acknowledgement,6,-5
ackownledgement,acknowledgement,2,0
acnoldgement,acknowledgement,3,-3
acnoledgement,acknowledgement,2,-2
acnolegment,acknowledgement,4,-4
acnologement,acknowledgement,4,-3
acnowledgment,acknowledgement,2,-2
acquig,acknowledgement,12,-9
actknowlegment,acknowledgement,3,-1
agnowlegment,acknowledgement,4,-3
aknowledgement,acknowledgement,1,-1
aknowledgment,acknowledgement,2,-2
aknowlege,acknowledgement,6,-6
aqnowledgment,acknowledgement,3,-2
ecknowledgement,acknowledgement,1,0
ecknowledgment,acknowledgement,2,-1
exconolidiemet,acknowledgement,7,-1
exnowledgment,acknowledgement,4,-2
knowledgement,acknowledgement,2,-2
accknowledging,acknowledging,1,1
accnoledgin,acknowledging,3,-2
accnolegde,acknowledging,6,-3
acknodgling,acknowledging,4,-2
acknoldeing,acknowledging,3,-2
acknoldge,acknowledging,5,-4
acknoledging,acknowledging,1,-1
acknolgeing,acknowledging,4,-2
acknolidge,acknowledging,5,-3
acknolleging,acknowledging,2,-1
acknologing,acknowledging,3,-2
acknowedge,acknowledging,4,-3
acknowedging,acknowledging,1,-1
acknowing,acknowledging,4,-4
acknowkling,acknowledging,4,-2
acknowladging,acknowledging,1,0
acknowldging,acknowledging,1,-1
acknowlding,acknowledging,2,-2
acknowleckging,acknowledging,2,1
acknowledeing,acknowledging,1,0
acknowledge,acknowledging,3,-2
acknowledgeing,acknowledging,1,1
acknowledgly,acknowledging,3,-1
acknowledgment,acknowledging,3,1
acknowleding,acknowledging,1,-1
acknowleging,acknowledging,1,-1
acknowlging,acknowledging,2,-2
acknowliging,acknowledging,2,-1
acknowling,acknowledging,3,-3
acknowloding,acknowledging,2,-1
acknownlegeing,acknowledging,3,1
aclongaly,acknowledging,9,-4
acnolagaling,acknowledging,6,-1
actknowledge,acknowledging,4,-1
aknowledging,acknowledging,1,-1
alknowgding,acknowledging,4,-2
anackledge,acknowledging,8,-3
ecknoligging,acknowledging,4,-1
ecknowledging,acknowledging,1,0
ecknowlging,acknowledging,3,-2
ecnowledging,acknowledging,2,-1
ecnuliging,acknowledging,6,-3
ecolinegly,acknowledging,10,-3
ecomodyley,acknowledging,10,-3
egnoliging,acknowledging,6,-3
aquaint,acquaint,1,-1
accountance,acquaintance,4,-1
accquaintance,acquaintance,1,1
accquaintence,acquaintance,2,1
accquance,acquaintance,5,-3
accquantence,acquaintance,3,0
accquantience,acquaintance,4,1
accquantince,acquaintance,3,0
accquatance,acquaintance,3,-1
accquiantance,acquaintance,3,1
accuaintance,acquaintance,1,0
accuanteance,acquaintance,3,0
accuntence,acquaintance,4,-2
ackquaintance,acquaintance,1,1
ackquanting,acquaintance,5,-1
ackquitence,acquaintance,4,-1
ackwaintance,acquaintance,2,0
acqauntance,acquaintance,2,-1
acquaince,acquaintance,3,-3
acquainenec,acquaintance,4,-1
acquaint,acquaintance,4,-4
acquaintaince,acquaintance,1,1
acquainted,acquaintance,4,-2
acquaintence,acquaintance,1,0
acquaintiance,acquaintance,1,1
acquaints,acquaintance,4,-3
acquaitance,acquaintance,1,-1
acquance,acquaintance,4,-4
acquanitence,acquaintance,3,0
acquantance,acquaintance,1,-1
acquantants,acquaintance,3,-1
acquantenc,acquaintance,3,-2
acquantence,acquaintance,2,-1
acquantiance,acquaintance,2,0
acquantice,acquaintance,3,-2
acquantience,acquaintance,3,0
acquatience,acquaintance,4,-1
acquiance,acquaintance,3,-3
acquiantance,acquaintance,2,0
acqunatince,acquaintance,4,-1
acquontence,acquaintance,3,-1
acuquontence,acquaintance,4,0
aqquaintance,acquaintance,1,0
aqquantance,acquaintance,2,-1
aquaintance,acquaintance,1,-1
aquainted,acquaintance,5,-3
aquaintence,acquaintance,2,-1
aquaintents,acquaintance,4,-1
aquaints,acquaintance,5,-4
aquanitance,acquaintance,3,-1
aquantaince,acquaintance,3,-1
aquantance,acquaintance,2,-2
aquantience,acquaintance,4,-1
aquatance,acquaintance,3,-3
aqucuntance,acquaintance,3,-1
aquentance,acquaintance,3,-2
aquentence,acquaintance,4,-2
atquantes,acquaintance,6,-3
occquance,acquaintance,6,-3
aquantences,acquaintances,3,-2
aquainted,acquainted,1,-1
aquiese,acquiesce,2,-2
acquiesence,acquiescence,1,-1
aquire,acquire,1,-1
aquisistion,acquisition,2,0
accour,acre,4,2
acer,acre,2,0
acher,acre,2,1
accross,across,1,1
acroos,across,1,0
acros,across,1,-1
akt,act,1,0
at,act,1,-1
actting,acting,1,1
acttive,active,1,1
activally,actively,2,1
activerties,activities,2,1
activeties,activities,1,0
activites,activities,1,-1
activitys,activities,2,-1
acks,acts,1,0
actuall,actual,1,1
actural,actual,1,1
acarly,actually,3,-2
accle,actually,5,-3
accolliy,actually,4,0
accotly,actually,4,-1
acctaly,actually,3,-1
acctually,actually,1,1
acctuly,actually,3,-1
accualy,actually,2,-1
accutualy,actually,3,1
acely,actually,4,-3
acerle,actually,5,-2
acerly,actually,4,-2
achauly,actually,3,-1
ache,actually,6,-4
acheliy,actually,4,-1
achely,actually,4,-2
acherly,actually,4,-1
achertily,actually,5,1
achly,actually,4,-3
acile,actually,5,-3
acitler,actually,5,-1
ackchely,actually,4,0
ackle,actually,5,-3
ackturly,actually,3,0
acocly,actually,4,-2
acoly,actually,4,-3
acorll,actually,4,-2
acsha,actually,5,-3
acshorly,actually,4,0
actally,actually,1,-1
actarlly,actually,2,0
acterly,actually,3,-1
acthally,actually,1,0
actherly,actually,3,0
acting,actually,5,-2
actioally,actually,2,1
acttully,actually,2,0
actualy,actually,1,-1
actuley,actually,2,-1
actully,actually,1,-1
actuly,actually,2,-2
actuoly,actually,2,-1
acturally,actually,1,1
actyeley,actually,3,0
acually,actually,1,-1
acuatly,actually,2,-1
acuely,actually,3,-2
acully,actually,2,-2
aculy,actually,3,-3
acusley,actually,3,-1
acwtly,actually,4,-2
aflly,actually,4,-3
aherley,actually,5,-1
akhly,actually,5,-3
aksualy,actually,3,-1
aktuly,actually,3,-2
alashed,actually,7,-1
albee,actually,7,-3
alshel,actually,6,-2
aole,actually,6,-4
as,actually,7,-6
ashly,actually,5,-3
asiley,actually,5,-2
askly,actually,5,-3
asl,actually,6,-5
asley,actually,5,-3
asluy,actually,5,-3
at,actually,6,-6
atally,actually,2,-2
atant,actually,5,-3
atchually,actually,2,1
atcsualy,actually,3,0
aterly,actually,4,-2
ats,actually,6,-5
attually,actually,1,0
attualy,actually,2,-1
atul,actually,4,-4
atully,actually,2,-2
atwgel,actually,5,-2
auctully,actually,2,0
axally,actually,3,-2
axeshowle,actually,7,1
axly,actually,5,-4
axsherly,actually,5,0
cofelet,actually,6,-1
ecturenely,actually,5,2
eslin,actually,7,-3
excually,actually,3,0
adaptibility,adaptability,1,0
adabtable,adaptable,1,0
adeptation,adaptation,1,0
ad,add,1,-1
ade,add,1,0
additon,addition,1,-1
addittion,addition,1,1
addtion,addition,1,-1
